date,max_temperature,avg_temperature,min_temperature,max_dew_point,avg_dew_point,min_dew_point,max_humidity,avg_humidity,min_humidity,max_wind_speed,avg_wind_speed,min_wind_speed,rainfall
21/2/2015,93,84.6,79,77,75,68,94,74.8,46,13,4.7,0,0.23
22/2/2015,91,85.1,79,77,74.6,72,89,72.1,52,12,5.2,0,0.1
24/2/2015,91,83.7,77,77,73.5,72,89,71.9,52,12,5.5,1,0.24
28/2/2015,91,84.8,79,77,74.8,73,83,73.1,55,13,6.3,0,0.37
4/3/2015,91,84.3,79,77,75.3,75,89,75.5,59,9,3.6,0,36.36
5/3/2015,90,84,79,79,76,75,89,77.7,62,13,4.3,0,13.34
6/3/2015,93,84.8,77,77,75,73,94,73.8,52,10,4.1,1,40.43
10/3/2015,90,82.4,75,79,75.1,73,94,79.7,62,15,6.6,1,3.19
11/3/2015,91,84.4,79,79,74.7,70,89,73.8,59,12,5.8,1,0.97
12/3/2015,91,84.5,79,79,74.4,70,89,72.5,55,8,4.7,0,0.06
15/3/2015,90,83.8,77,77,72.2,70,83,68.7,55,14,5.8,0,4.85
16/3/2015,91,84.5,77,77,73.8,72,89,71.7,55,14,5.2,1,4.58
17/3/2015,90,84.1,77,79,75.1,72,94,75.4,62,14,4.2,0,6.94
19/3/2015,93,85.6,79,79,76.8,73,89,75.9,55,12,5.2,1,14.62
20/3/2015,93,85.7,79,79,78,77,94,78,59,10,4.2,0,2.09
21/3/2015,86,82.3,77,77,76.1,73,100,82.2,66,9,4.1,0,0.02
25/3/2015,88,82.4,75,79,75.8,72,100,80.9,66,12,5.4,0,0
26/3/2015,90,84.2,79,79,75.1,70,89,74.8,58,12,6.2,0,2.84
29/3/2015,90,84,75,79,76,72,94,77.9,59,17,6,1,0
30/3/2015,90,81.7,75,77,76,73,100,84.3,62,14,5.3,1,0
31/3/2015,88,81.2,77,79,77,75,94,87.5,70,9,3.9,0,0.67
1/4/2015,90,82.3,77,79,76.9,75,100,84.7,66,13,4.5,0,0.06
2/4/2015,90,83,79,79,76.9,73,94,82.6,66,10,4.2,0,0
3/4/2015,91,85.2,81,81,78.3,77,94,80,63,10,3.6,0,0
4/4/2015,90,85.2,81,81,79.5,77,94,83.1,70,14,4.5,0,0
7/4/2015,93,86.2,81,79,77.5,73,94,75.8,55,12,4.5,0,0.17
12/4/2015,91,81.5,75,81,76.4,73,100,85.5,59,18,3.8,0,57.29
14/4/2015,90,81.7,77,79,76.6,75,100,85.8,66,13,4.3,0,2.06
15/4/2015,90,82.3,73,79,75.6,72,100,81.4,66,10,4.7,0,4.27
16/4/2015,91,83.9,73,79,76.9,73,100,80,62,14,4,0,3.13
22/4/2015,90,81.9,77,81,77.7,75,100,87.4,70,10,3.9,0,2.31
23/4/2015,86,81.5,79,79,77.3,73,100,87.3,70,13,4.5,0,0.79
24/4/2015,88,82.8,79,79,77.7,75,94,85,74,10,4.1,0,0.3
1/5/2015,88,82.1,77,81,77,75,94,84.8,70,8,3.8,0,13.75
3/5/2015,88,82.9,79,81,78.6,77,94,86.8,70,9,2.7,0,6.47
4/5/2015,90,83,75,79,76.2,72,100,80.8,66,8,4.2,0,5.22
6/5/2015,88,83.9,79,81,78.2,77,94,83.4,70,9,3.6,0,20.26
8/5/2015,90,83.7,79,82,78.5,77,94,84.7,70,13,5,1,0.03
9/5/2015,90,83.8,77,79,77.8,75,100,82.7,70,9,4.2,0,0
10/5/2015,90,83.7,81,81,79.1,77,94,86,70,14,3.6,0,0.01
11/5/2015,90,84.8,79,81,78,77,94,80.8,66,10,4.1,0,0
12/5/2015,84,81.3,77,79,77.3,75,100,87.9,74,7,3.5,0,0
13/5/2015,88,83.8,79,81,77.9,75,94,83,70,10,4.1,0,0
14/5/2015,88,82.9,81,81,78.3,75,94,85.8,74,13,5.2,0,0.03
16/5/2015,88,83.8,81,81,78.8,77,94,84.7,74,14,5,0,0.77
18/5/2015,90,84.7,79,79,78.1,75,94,81.3,66,13,3.7,0,33.99
19/5/2015,90,85.2,81,81,79.3,77,94,82.5,70,13,5.1,0,34.38
23/5/2015,90,81.8,77,79,76.1,73,94,83.3,66,16,4,0,0
